车辆名称,车辆评级,成交价格,成交时间,上牌时间,行驶里程,车辆所在地,使用性质,颜色
奔驰/C级/2015款 2.0T 自动 C200L,75CB,5.72万元,2026年01月,2015年01月,197928公里,金华,非营运,灰色
"中升车源
日产/阳光/2011款 1.5 自动 XE舒适版",95AA,0.64万元,2026年01月,2011年10月,95228公里,广州,非营运,灰色
福特/福克斯三厢/2017款 1.6 自动 风尚型智行版,70BB,2.00万元,2026年01月,2017年03月,137381公里,合肥,非营运,白色
"中升车源
丰田/卡罗拉/2011款 1.6 自动 GL纪念版",40CD,1.63万元,2026年01月,2011年07月,180183公里,广州,非营运,灰色
腾势/腾势N9/2025款 旗舰型,90AA,32.28万元,2026年01月,2025年04月,5072公里,苏州,非营运,灰色
红旗/HS5/2022款 2.0T 自动 智联旗享版,80CB,5.85万元,2026年01月,2021年11月,79304公里,惠州,非营运,黄色
吉利汽车/博瑞/2017款 1.8T 自动 尊贵型,85DB,1.86万元,2026年01月,2018年04月,61493公里,杭州,非营运,白色
福特/福克斯两厢/2012款 1.6 手动 风尚型,75BC,1.23万元,2026年01月,2013年10月,74670公里,成都,非营运,白色
日产/轩逸/2014款 1.6 自动 XV尊享版,50BC,2.90万元,2026年01月,2016年02月,105969公里,广州,非营运,灰色
"中升车源
现代/悦动/2008款 1.8L 手动 GLS",35DC,0.75万元,2026年01月,2009年03月,195138公里,东莞,非营运,黑色
吉利汽车/帝豪三厢/2016款 1.5 手动 向上版,60BD,0.86万元,2026年01月,2016年09月,93028公里,苏州,非营运,红色
斯柯达/明锐/2015款 1.6 自动 逸杰版,70BB,1.65万元,2026年01月,2015年01月,240362公里,苏州,非营运,灰色
长安/逸动XT/2016款 1.6 手动 俊酷型,40BC,1.00万元,2026年01月,2017年05月,63869公里,苏州,非营运,白色
别克/英朗三厢/2016款 1.5 自动 15N精英型,70BB,1.81万元,2026年01月,2016年04月,180375公里,苏州,非营运,白色
"中升车源
本田/XR-V/2015款 1.8 自动 EXi舒适版",30CC,3.70万元,2026年01月,2016年12月,113281公里,无锡,非营运,白色
起亚/智跑/2015款 2.0 自动 GLS前驱,70DC,1.50万元,2026年01月,2015年07月,58544公里,惠州,非营运,白色
"中升车源
福特/翼搏/2017款 1.5 自动 尊贵型",60CA,1.50万元,2026年01月,2017年04月,102157公里,哈尔滨,非营运,白色
荣威/RX5/2018款 1.5T 手动 20T旗舰版前驱,70DC,1.00万元,2026年01月,2018年05月,110161公里,杭州,非营运,白色
广汽传祺/传祺GS4/2018款 1.5T 自动 235T豪华智联版前驱,45BC,2.14万元,2026年01月,2018年12月,229308公里,广州,非营运,红色
smart/ForTwo/2017款 1.0L 自动 52千瓦新声特别版 国V,75BB,3.47万元,2026年01月,2017年08月,41894公里,唐山,非营运,其他
奔驰/S级/2010款 3.0 自动 S300L尊贵型 (进口),60BC,3.13万元,2026年01月,2009年10月,188470公里,杭州,非营运,黑色
大众/途观/2013款 1.8T 自动 豪华版前驱,60BC,2.29万元,2026年01月,2013年10月,216992公里,北京,非营运,棕色
本田/奥德赛/2015款 2.4 自动 智享版 改款,50DB,6.72万元,2026年01月,2016年08月,235839公里,东莞,非营运,白色
福特/蒙迪欧/2013款 2.0T 自动 GTDi200时尚型,40CC,2.51万元,2026年01月,2015年07月,123062公里,赣州,非营运,白色
别克/GL8/2017款 2.0T 自动 ES 28T旗舰型,75BC,9.97万元,2026年01月,2018年07月,119695公里,苏州,非营运,黄色
大众/POLO两厢/2018款 1.5 自动 安享型,70BB,3.47万元,2026年01月,2019年03月,40486公里,成都,非营运,白色
别克/英朗三厢/2018款 1.0T 自动 15T进取型,45DD,1.41万元,2026年01月,2018年08月,73464公里,广州,非营运,白色
哈弗/哈弗H6/2017款 1.5T 自动 红标运动版豪华型前驱 改款,65AB,2.60万元,2026年01月,2017年11月,27661公里,广州,非营运,白色
吉利汽车/博越/2016款 1.8T 自动 智尊型前驱,70CB,1.68万元,2026年01月,2017年01月,109370公里,杭州,非营运,白色
吉利汽车/吉利GX7/2012款 2.0 手动 舒适型,95AA,0.50万元,2026年01月,2013年11月,47966公里,哈尔滨,非营运,黄色
比亚迪/宋PLUS新能源/2025款 EV 智驾版 520km 尊贵型,95AB,10.18万元,2026年01月,2025年03月,5185公里,杭州,非营运,黑色
现代/朗动/2013款 1.6 自动 DLX尊贵型,55CC,1.82万元,2026年01月,2014年02月,64150公里,东莞,非营运,白色
上汽大通/新途V80/2016款 2.5T 手动 傲运通版长轴中顶7座 柴油 国IV,45BB,3.50万元,2026年01月,2016年03月,91728公里,嘉兴,非营运,白色
奔腾/T77/2021款 PRO 280 TID 1.5T 自动 豪华型,85DB,4.32万元,2026年01月,2023年07月,53835公里,杭州,非营运,白色
大众/途观L/2017款 2.0T 自动 380TSI至尊旗舰版四驱,85BB,8.30万元,2026年01月,2018年05月,34491公里,武汉,非营运,棕色
现代/名图/2021款 1.8L CVT GLX精英版,75BC,5.17万元,2026年01月,2021年05月,33217公里,武汉,非营运,灰色
日产/逍客/2008款 2.0 自动 20X雷前驱,55BC,0.93万元,2026年01月,2009年09月,189830公里,眉山,非营运,白色
"中升车源
现代/朗动/2012款 1.6L 自动领先型",95AA,1.20万元,2026年01月,2013年01月,119618公里,中山,非营运,黄色
本田/思域/2008款 1.8 手动 纪念经典版,65DC,0.49万元,2026年01月,2008年12月,174740公里,贵阳,非营运,灰色
"中升车源
别克/君越/2019款 2.0T 自动 28T精英型",70DB,6.23万元,2026年01月,2020年05月,91437公里,遵义,非营运,灰色
大众/迈腾/2012款 2.0T 自动 至尊型 改款,45BD,3.00万元,2026年01月,2014年01月,173449公里,长春,非营运,黑色
江汽集团/瑞风S7/2017款 1.5T 自动 舒适型,70BC,1.42万元,2026年01月,2018年02月,115412公里,郴州,非营运,其他
"中升车源
马自达/马自达CX-4/2018款 2.0 自动 蓝天品位升级版前驱",80AB,5.24万元,2026年01月,2019年10月,99199公里,深圳,非营运,蓝色
宝马/X3/2019款 2.0T 自动 28i豪华套装,75BC,13.99万元,2026年01月,2019年07月,53762公里,广州,非营运,灰色
"中升车源
日产/轩逸/2012款 1.8 自动 XL豪华版",50CC,1.71万元,2026年01月,2014年03月,94350公里,广州,租赁公司非营运,黑色
"中升车源
别克/君威/2009款 2.0 自动 精英型",45CD,0.61万元,2026年01月,2010年01月,137706公里,佛山,非营运,灰色
日产/轩逸/2019款 1.6 自动 经典XL豪华版,40CC,1.28万元,2026年01月,2020年08月,87298公里,北京,租赁,白色
日产/天籁/2011款 2.5 自动 XL领先版,55CC,2.32万元,2026年01月,2012年08月,182767公里,北京,非营运,白色
本田/CR-V/2015款 2.0 自动 都市版前驱,75BC,4.55万元,2026年01月,2015年07月,132183公里,阜新,非营运,黑色
北汽幻速/H2/2016款 1.5 手动 H2E精英型5-8座,95AA,0.60万元,2026年01月,2018年04月,108496公里,沈阳,非营运,棕色
"中升车源
吉利汽车/吉利GX7/2013款 1.8 手动 进取型",95AA,0.34万元,2026年01月,2014年02月,102488公里,盘锦,非营运,黑色
"中升车源
比亚迪/F3/2012款 1.5 手动 标准型节能版",95AA,0.22万元,2026年01月,2014年05月,116401公里,盘锦,非营运,黑色
"中升车源
东风风神/风神S30/2014款 1.5 手动 感恩版",95AA,0.22万元,2026年01月,2015年02月,147284公里,铁岭,非营运,黑色
五菱汽车/宏光/2014款 1.5 手动 S舒适型,95AA,0.56万元,2026年01月,2015年03月,150011公里,广州,非营运,棕色
奔驰/C级Coupe/2013款 1.8T 自动 C180轿跑版 (进口),65CC,2.73万元,2026年01月,2014年01月,83392公里,北京,非营运,黑色
现代/朗动/2015款 1.6 自动 GLX领先型,65CB,2.56万元,2026年01月,2015年07月,95160公里,北京,非营运,白色
大众/朗逸/2013款 1.4T 自动 舒适版 改款,55BC,2.33万元,2026年01月,2015年06月,92495公里,北京,非营运,黑色
哈弗/哈弗H2/2017款 1.5T 自动 红标豪华型前驱,30CC,1.40万元,2026年01月,2017年03月,255198公里,北京,非营运,白色
现代/途胜/2015款 1.6T 自动 智能型前驱,60BC,3.17万元,2026年01月,2017年09月,243726公里,北京,非营运,白色
比亚迪/秦新能源/2018款 EV450智联锋尚型 纯电动,55BC,2.25万元,2026年01月,2018年05月,119162公里,北京,非营运,白色
日产/轩逸/2022款 1.6L 自动 XL悦享版,80AB,6.80万元,2026年01月,2023年01月,33775公里,江门,非营运,灰色
大众/桑塔纳/2013款 1.6 手动 风尚版,55DC,0.38万元,2026年01月,2014年05月,140863公里,北京,营转非,黑色
标致/408/2015款 1.2T 自动 豪华版,95AA,1.28万元,2026年01月,2016年10月,139052公里,江门,非营运,白色
"中升车源
长安/悦翔V3/2015款 1.4 手动 美满型 国V",65DA,0.30万元,2026年01月,2016年06月,42546公里,沈阳,非营运,灰色
福特/全顺/2020款 2.0T汽油自动商旅型中轴中顶10-12座国VI,75BB,6.00万元,2026年01月,2022年02月,97667公里,天津,租赁公司非营运,白色
"中升车源
大众/宝来三厢/2013款 1.4T 自动 豪华型",60CB,2.01万元,2026年01月,2013年07月,121999公里,天津,非营运,白色
名爵/锐行/2015款 1.5T 手动 风尚版,50DC,0.36万元,2026年01月,2016年07月,145865公里,东莞,非营运,红色
宝马/5系/2014款 2.0T 自动 525Li风尚设计套装,60BC,4.63万元,2026年01月,2014年01月,154426公里,北京,非营运,灰色
哈弗/神兽/2022款 1.5T 自动 智尊版,80BB,5.82万元,2026年01月,2022年03月,19794公里,广州,非营运,蓝色
丰田/凯美瑞/2007款 2.4 自动 240G豪华型,65BC,1.89万元,2026年01月,2008年01月,109073公里,上海,非营运,黄色
大众/途观L/2021款 2.0T 自动 330TSI R-Line越享版前驱,75BB,9.74万元,2026年01月,2021年01月,110301公里,杭州,非营运,白色
别克/昂科威Plus/2014款 2.0T 自动 28T 四驱豪华型,65BC,2.60万元,2026年01月,2014年11月,133935公里,广州,非营运,紫色
"中升车源
一汽/森雅S80/2011款 1.5 手动 都市精英版5座",30BB,0.24万元,2026年01月,2012年07月,121825公里,沈阳,非营运,白色
斯柯达/明锐/2018款 1.6 自动 豪华版,80BB,3.85万元,2026年01月,2018年01月,92040公里,天津,非营运,白色
斯柯达/明锐/2018款 1.6 自动 豪华版,80BB,3.85万元,2026年01月,2018年01月,92040公里,天津,非营运,白色
"中升车源
比亚迪/宋PLUS/2020款 1.5T 自动 豪华型",75DC,3.35万元,2026年01月,2021年08月,64964公里,武汉,非营运,灰色
日产/轩逸/2022款 经典 1.6XL CVT豪华版,75BB,3.97万元,2026年01月,2023年08月,200743公里,北京,非营运,白色
大众/POLO两厢/2018款 1.5 自动 安驾型,65CC,3.00万元,2026年01月,2018年12月,96361公里,宿州,非营运,白色
日产/轩逸/2016款 1.6 手动 经典XE领先版,50CC,1.70万元,2026年01月,2017年07月,155748公里,长春,非营运,黄色
大众/朗行/2013款 1.4T 自动 豪华版,60BC,1.59万元,2026年01月,2013年07月,115571公里,北京,非营运,白色
奥迪/Q5L/2018款 2.0T 自动 40TFSI荣享时尚型 国V,75BC,13.11万元,2026年01月,2019年12月,98379公里,上饶,非营运,黑色
大众/Tiguan/2013款 2.0T 自动 R-Line (进口),70AC,4.98万元,2026年01月,2016年10月,116214公里,天津,非营运,灰色
大众/速腾/2017款 1.4T 手动 230TSI舒适型,60BB,2.80万元,2026年01月,2016年11月,101621公里,邯郸,非营运,白色
日产/逍客/2012款 1.6 手动 XE风前驱,80BB,2.08万元,2026年01月,2014年05月,119320公里,潍坊,非营运,白色
"中升车源
小鹏汽车/P7/2023款 P7i 702 Pro",85AB,11.42万元,2026年01月,2023年12月,32999公里,广州,非营运,黑色
比亚迪/宋PLUS新能源/2025款 DM-i 智驾版 1.5L 自动 112KM 尊贵型,90AA,8.75万元,2026年01月,2025年03月,7385公里,常德,非营运,黑色
"中升车源
比亚迪/宋新能源/2017款 1.5T 自动 DM豪华型四驱 混动",70BB,2.12万元,2026年01月,2018年06月,68012公里,深圳,非营运,白色
宝马/X1/2013款 2.0 自动 18i时尚型后驱,75DC,1.94万元,2026年01月,2014年06月,124065公里,呼和浩特,非营运,棕色
"中升车源
三菱/劲炫ASX/2013款 2.0 自动 精英版前驱",45DC,1.25万元,2026年01月,2015年06月,132409公里,成都,非营运,黑色
丰田/雷凌/2021款 1.2T 自动 185T运动版,60BC,5.00万元,2026年01月,2020年10月,46447公里,东莞,非营运,灰色
大众/高尔夫/2015款 1.4T 自动 舒适型,60CC,2.80万元,2026年01月,2015年10月,171804公里,北京,非营运,白色
日产/轩逸/2012款 1.6 自动 XE舒适版经典款,80BB,1.38万元,2026年01月,2014年03月,202001公里,惠州,非营运,灰色
奔驰/R级/2017款 3.0T 自动 R320商务型臻藏版四驱 (进口),70CC,6.00万元,2026年01月,2016年08月,212710公里,泰安,非营运,黑色
上汽大通/新途V80/2019款 2.5T 自动 经典款傲运通短轴中顶5/6座 柴油,45DC,3.22万元,2026年01月,2020年06月,170407公里,嘉兴,非营运,白色
丰田/逸致/2011款 1.8 自动 E精英版5座,50DC,2.27万元,2026年01月,2013年07月,190534公里,北京,非营运,白色
奔驰/C级/2017款 2.0T 自动 C200L运动型,75BB,9.50万元,2026年01月,2017年03月,81150公里,北京,非营运,黑色
大众/朗逸/2017款 1.6 手动 舒适版,50DC,1.47万元,2026年01月,2017年12月,245711公里,北京,非营运,黑色
宝骏/560/2015款 1.8 手动 豪华型,50DB,0.74万元,2026年01月,2015年11月,52512公里,北京,非营运,白色
大众/朗逸/2017款 1.6 自动 舒适版,50AB,2.55万元,2026年01月,2017年04月,62585公里,无锡,非营运,红色
领克/领克09 EM-P/2023款 2.0TD EM-P 远航版PM 六座,95BB,8.53万元,2026年01月,2022年12月,213946公里,杭州,非营运,黑色
比亚迪/秦Pro/2018款 1.5T 自动 智联锋享型,50DC,1.60万元,2026年01月,2019年07月,226976公里,北京,非营运,白色
宝马/7系/2018款 2.0T 自动 730Li领先型M运动套装 (进口),75BB,18.00万元,2026年01月,2018年07月,165891公里,惠州,非营运,黑色
广汽传祺/传祺M8/2019款 2.0T 自动 320T至尊版,75AB,9.63万元,2026年01月,2020年01月,53612公里,北京,非营运,白色
丰田/雷凌/2017款 1.2T 自动 185T精英版 改款,85BB,3.47万元,2026年01月,2017年12月,89828公里,苏州,非营运,红色
长安/CS75 PLUS/2020款 1.5T 自动 豪华型,70AB,4.72万元,2026年01月,2020年02月,88193公里,德宏,非营运,灰色
比亚迪/秦Pro新能源/2019款 EV超能版 高功率高续航智联领创型 纯电动,35BC,3.67万元,2026年01月,2020年03月,189895公里,北京,非营运,灰色
"中升车源
现代/ix35/2018款 2.0 自动 智勇畅享版前驱",85BB,4.04万元,2026年01月,2018年10月,91772公里,包头,非营运,白色
雪佛兰/科鲁兹三厢/2015款 1.5 手动 经典版SE,75BB,1.05万元,2026年01月,2015年01月,69979公里,南京,非营运,白色
"中升车源
大众/POLO两厢/2019款 1.5 自动 Plus全景乐享版",65BB,4.71万元,2026年01月,2020年12月,31706公里,成都,非营运,白色
"中升车源
本田/艾力绅/2019款 2.0 自动 豪华版 混动",85AB,15.54万元,2026年01月,2021年01月,51889公里,包头,非营运,白色
"中升车源
丰田/卡罗拉/2014款 1.6 自动 GL",75BC,3.18万元,2026年01月,2016年03月,101166公里,泰州,非营运,白色
"中升车源
大众/迈腾/2013款 1.8T 自动 豪华型",50DC,2.83万元,2026年01月,2014年05月,80025公里,成都,非营运,黑色
别克/凯越/2013款 1.5 手动 经典型,75BC,0.60万元,2026年01月,2014年10月,62956公里,呼和浩特,非营运,白色
吉利汽车/缤越/2020款 1.5T 自动 PRO 260T骑士,60BB,4.29万元,2026年01月,2021年03月,47000公里,海口,非营运,白色
大众/迈腾/2011款 1.4T 自动 精英型,70CC,0.76万元,2026年01月,2010年11月,197302公里,宁波,非营运,黑色
吉利汽车/帝豪三厢/2017款 1.5 自动 百万款豪华型,65AC,1.21万元,2026年01月,2017年09月,70162公里,深圳,非营运,白色
广汽传祺/传祺GS4/2015款 1.3T 自动 200T豪华版,70BC,1.77万元,2026年01月,2016年02月,76743公里,长沙,非营运,其他
东风风神/奕炫GS/2021款 230T 自动追曜武士版,75CB,2.74万元,2026年01月,2022年02月,21272公里,深圳,非营运,黑色
比亚迪/唐L/2025款 EV 600KM四驱激光雷达旗舰型,85BA,19.30万元,2026年01月,2025年04月,5089公里,海口,非营运,灰色
日产/LANNIA 蓝鸟/2016款 1.6 自动 炫酷版,50BC,3.10万元,2026年01月,2017年08月,99386公里,海口,非营运,白色
别克/GL8/2011款 3.0 自动 XT豪华商务旗舰型,60BC,2.51万元,2026年01月,2012年05月,296026公里,杭州,非营运,灰色
现代/胜达/2013款 2.4 自动 智能型前驱,40DC,1.67万元,2026年01月,2014年08月,153481公里,成都,非营运,黑色
"中升车源
起亚/智跑/2012款 2.0 自动 NAVI前驱",40DC,0.86万元,2026年01月,2012年08月,112859公里,福州,非营运,黄色
比亚迪/秦L/2024款 1.5L 自动 DM-i 80KM超越型,95AA,6.75万元,2026年01月,2025年05月,1317公里,衡水,非营运,灰色
比亚迪/海豹06GT/2025款 智驾版 605热浪版,95AA,10.50万元,2026年01月,2025年03月,8876公里,邢台,非营运,绿色
荣威/RX5 MAX/2019款 1.5T 自动 300TGI智能座舱旗舰版,45BC,3.85万元,2026年01月,2019年09月,55997公里,西安,非营运,黄色
丰田/皇冠/2018款 2.0T 自动 运动版,75BA,15.80万元,2026年01月,2020年05月,49790公里,长沙,非营运,黑色
大众/宝来三厢/2019款 1.5 自动 精英型,80BB,4.07万元,2026年01月,2018年11月,53432公里,武汉,非营运,白色
本田/CR-V/2010款 2.0 自动 Exi经典型四驱,95AA,3.15万元,2026年01月,2011年10月,140560公里,营口,非营运,白色
大众/速腾/2012款 1.6 自动 舒适型,50BB,2.23万元,2026年01月,2013年08月,109796公里,天津,非营运,白色
WEY/VV5/2017款 2.0T 自动 超豪型,75CB,2.50万元,2026年01月,2018年05月,140903公里,武汉,非营运,白色
比亚迪/秦PLUS/2024款 荣耀版 1.5L 自动 DM-i 55KM领先型,85AA,4.40万元,2026年01月,2024年03月,19213公里,金华,非营运,灰色
大众/途观L/2017款 1.8T 自动 330TSI豪华版前驱,60CB,4.98万元,2026年01月,2017年06月,178285公里,上海,非营运,灰色
雷克萨斯/CT/2014款 1.8 自动 200h精英版单色 混动 (进口),70BB,5.20万元,2026年01月,2014年07月,86770公里,上海,非营运,白色
哈弗/哈弗F7/2021款 1.5T 自动 i潮前驱,80BB,4.90万元,2026年01月,2021年01月,17990公里,杭州,非营运,白色
大众/POLO两厢/2016款 1.6 自动 舒适型,55BB,2.82万元,2026年01月,2016年06月,77983公里,天津,非营运,白色
东南/DX7/2017款 1.5T 自动 豪华型,50BC,1.37万元,2026年01月,2017年07月,72520公里,上海,非营运,白色
福特/福克斯两厢/2012款 1.6 自动 风尚型,40BD,1.34万元,2026年01月,2014年10月,105434公里,上海,非营运,白色
斯巴鲁/傲虎/2010款 2.5 自动 豪华版 (进口),55BC,2.13万元,2026年01月,2010年07月,152741公里,上海,非营运,白色
本田/飞度两厢/2014款 1.5 自动 LX舒适版,55BB,2.13万元,2026年01月,2014年07月,144511公里,惠州,非营运,灰色
"中升车源
东风风行/景逸X5/2015款 1.6 手动 尊享型",95AA,0.51万元,2026年01月,2014年12月,185103公里,沈阳,非营运,其他
五十铃/瑞迈/2016款 2.8T 手动 加长货箱豪华款后驱JE493ZLQ4CA 柴油,50DC,1.94万元,2026年01月,2017年02月,69885公里,杭州,非营运,灰色
"中升车源
广汽传祺/影豹/2021款 1.5T 自动 270T 影豹J16版",85BA,6.01万元,2026年01月,2022年08月,56742公里,深圳,非营运,其他
马自达/马3昂克赛拉三厢/2014款 1.5 自动 舒适型,50BB,1.96万元,2026年01月,2014年12月,204081公里,宁波,非营运,白色
坦克/坦克300/2023款 越野版 2.0T 自动 挑战者,70BA,12.66万元,2026年01月,2023年04月,88162公里,大连,非营运,黑色
"中升车源
宝马/5系/2014款 2.0T 自动 525Li豪华设计套装",45BC,3.77万元,2026年01月,2013年12月,113887公里,大连,非营运,白色
日产/轩逸/2016款 1.6 自动 XL豪华版,65BB,2.90万元,2026年01月,2016年09月,162423公里,东莞,非营运,白色
特斯拉/MODEL Y/2021款 长续航全轮驱动版,60CC,11.00万元,2026年01月,2021年02月,176527公里,杭州,非营运,黑色
大众/桑塔纳/2015款 1.6 自动 舒适版,65CC,1.64万元,2026年01月,2015年03月,85277公里,上海,非营运,蓝色
别克/GL8/2017款 2.0T 自动 ES 28T豪华型,75BC,7.14万元,2026年01月,2018年01月,186017公里,上海,非营运,灰色
"中升车源
别克/昂科威Plus/2016款 1.5T 自动 20T领先型前驱",70BB,3.43万元,2026年01月,2016年01月,89677公里,上海,非营运,黄色
"中升车源
大众/夏朗/2013款 1.8T 自动 舒适版 (进口)",65DD,2.00万元,2026年01月,2013年08月,214379公里,东莞,非营运,棕色
日产/逍客/2017款 2.0L 自动 CVT精英版 国V,55BC,4.85万元,2026年01月,2018年09月,80866公里,海口,非营运,黑色
"中升车源
丰田/凯美瑞/2013款 2.5 自动 G舒适版",60CB,3.50万元,2026年01月,2013年07月,235294公里,深圳,非营运,黑色
大众/帕萨特新能源/2019款 1.4T 自动 精英版 混动,75BB,6.10万元,2026年01月,2019年04月,90586公里,深圳,非营运,黑色
保时捷/Macan/2022款 Macan 2.0T 自动 (进口),85AB,33.23万元,2026年01月,2022年07月,25049公里,厦门,非营运,白色
奥迪/Q5L/2022款 40T 自动 时尚动感型,85AB,16.16万元,2026年01月,2022年04月,92745公里,深圳,非营运,白色
奥迪/Q5/2017款 2.0T 自动 40TFSI技术型Plus,80AB,7.20万元,2026年01月,2017年08月,159578公里,石家庄,非营运,白色
丰田/威驰/2019款 1.5 自动 创行版,85CB,3.11万元,2026年01月,2020年01月,104019公里,阜新,非营运,白色
比亚迪/宋PLUS新能源/2025款 1.5L 自动 DM-i 智驾版 160KM 旗舰型,85AB,10.10万元,2026年01月,2025年02月,1595公里,泉州,非营运,灰色
"中升车源
日产/奇骏/2023款 1.5T 自动 e-POWER 超混双电机四驱豪华版",85BB,7.27万元,2026年01月,2023年05月,32866公里,盘锦,非营运,其他
名爵/MG6/2019款 1.5T 自动 20T运动版,70DB,2.19万元,2026年01月,2020年10月,73923公里,成都,非营运,红色
比亚迪/海狮05 DM-i/2025款 DM-i 智驾版 115KM旗舰型,90AB,8.00万元,2026年01月,2025年03月,755公里,泉州,非营运,白色
丰田/汉兰达/2009款 2.7 自动 豪华版7座前驱,35BC,1.84万元,2026年01月,2009年08月,280734公里,东莞,非营运,黑色
比速汽车/比速T3/2017款 1.3T 自动 旗舰型,60BC,0.60万元,2026年01月,2018年02月,92432公里,武汉,非营运,白色
本田/雅阁/2016款 2.0 自动 舒适版,80BB,6.54万元,2026年01月,2017年08月,64009公里,东莞,非营运,黑色
荣威/350/2015款 1.5 自动 豪华天窗版,65BC,0.62万元,2026年01月,2015年11月,75663公里,武汉,非营运,黄色
深蓝汽车/深蓝G318/2025款 无忧穿越版 四驱秘境版,80AB,14.49万元,2026年01月,2025年05月,3937公里,天津,非营运,黄色
宝马/3系GT/2013款 2.0T 自动 320i风尚设计套装 (进口),50BC,6.24万元,2026年01月,2013年08月,69438公里,北京,非营运,白色
"中升车源
沃尔沃/S60新能源/2015款 S60L 2.0T 自动 E驱混动 T6智驭版",60DB,2.74万元,2026年01月,2015年12月,72535公里,上海,非营运,白色
埃安/Aion S/2020款 魅 580,40BC,4.18万元,2026年01月,2021年01月,101192公里,天津,非营运,灰色
"中升车源
沃尔沃/S60新能源/2015款 S60L 2.0T 自动 E驱混动 T6智驭版",60DB,2.74万元,2026年01月,2015年12月,72535公里,上海,非营运,白色
埃安/Aion S/2020款 魅 580,40BC,4.18万元,2026年01月,2021年01月,101192公里,天津,非营运,灰色
本田/雅阁/2014款 2.4 自动 豪华版EX,40BC,4.20万元,2026年01月,2014年01月,133611公里,福州,非营运,黑色
日产/轩逸/2012款 1.6 自动 XE舒适版经典款,70BB,1.77万元,2026年01月,2014年10月,93899公里,惠州,非营运,灰色
奔驰/E级/2021款 2.0T 改款 E 300 L 运动时尚型,75BB,23.11万元,2026年01月,2021年05月,65336公里,南京,非营运,白色
宝马/3系/2016款 2.0T 自动 320Li时尚型,65DC,5.40万元,2026年01月,2015年12月,119387公里,南宁,非营运,白色
斯柯达/昊锐/2012款 1.8T 自动 贵雅版,75BC,1.40万元,2026年01月,2012年08月,74663公里,杭州,非营运,白色
别克/威朗三厢/2015款 1.5 手动 15S领先型,60BC,1.47万元,2026年01月,2016年01月,165288公里,宁波,非营运,灰色
大众/途安/2016款 途安L 1.4T 自动 280TSI DSG舒适版,70BC,4.20万元,2026年01月,2016年12月,90564公里,深圳,非营运,白色
方程豹/钛3/2025款 501KM 四驱Ultra版,90AC,11.99万元,2026年01月,2025年10月,3146公里,厦门,非营运,绿色
本田/缤智/2017款 1.5 自动 舒适型前驱,55DC,4.25万元,2026年01月,2018年12月,73083公里,东莞,非营运,白色
长安/逸动/2018款 1.6 自动 高能版GDI先锋型,75DB,2.61万元,2026年01月,2019年05月,50260公里,温州,非营运,黑色
日产/天籁/2013款 2.0 自动 XL舒适版,70BC,2.96万元,2026年01月,2015年10月,118517公里,北京,非营运,灰色
现代/ix35/2012款 2.0 自动 GLS精英版前驱,45BC,1.10万元,2026年01月,2013年03月,263355公里,苏州,非营运,黄色
现代/途胜/2015款 1.6T 自动 智能型前驱,70BB,3.87万元,2026年01月,2016年07月,122006公里,北京,非营运,白色
雷克萨斯/ES/2015款 2.0 自动 200精英版 (进口),55BB,9.28万元,2026年01月,2017年07月,111896公里,北京,非营运,灰色
五菱汽车/宏光/2021款 1.5L 手动 S舒适型LAR,90BB,2.58万元,2026年01月,2021年10月,53678公里,金华,非营运,棕色
丰田/卡罗拉/2017款 1.2T 自动 GL 改款,80BB,3.58万元,2026年01月,2018年12月,43748公里,金华,非营运,红色
宝马/5系/2017款 2.0T 自动 525Li豪华设计套装,65CB,8.15万元,2026年01月,2017年04月,184911公里,杭州,非营运,白色
"中升车源
广汽传祺/传祺GS4/2015款 1.3T 自动 200T豪华版",60BC,1.94万元,2026年01月,2016年02月,124087公里,苏州,非营运,黑色
本田/XR-V/2020款 1.5T 自动 220TURBO豪华版,80DB,5.73万元,2026年01月,2021年02月,60252公里,深圳,非营运,白色
"中升车源
一汽/威志V2/2010款 1.3 手动 舒适型",30DC,0.31万元,2026年01月,2012年02月,92056公里,天津,非营运,白色
比亚迪/唐新能源/2019款 2.0T 自动 DM智联创领型6座四驱 国VI 混动,80BB,5.13万元,2026年01月,2019年12月,129165公里,上海,非营运,灰色
大众/桑塔纳/2015款 1.6 自动 舒适版,40CB,1.32万元,2026年01月,2015年01月,91725公里,武汉,非营运,白色
奔腾/B50/2013款 1.6 自动 豪华型,40DC,0.72万元,2026年01月,2014年12月,135480公里,长春,非营运,白色
奥迪/A4L/2020款 2.0T 自动 40TFSI豪华动感型前驱,55BA,12.88万元,2026年01月,2020年12月,42059公里,长春,非营运,白色
奔腾/B70/2007款 2.0 自动 舒适型,95AA,0.47万元,2026年01月,2008年09月,252970公里,长春,非营运,灰色
别克/GL8/2013款 2.4 自动 行政版,45BD,1.39万元,2026年01月,2013年06月,133133公里,上海,非营运,灰色
铃木/锋驭/2014款 1.6 自动 进取型前驱,65BB,2.74万元,2026年01月,2014年12月,71004公里,北京,非营运,红色
"中升车源
丰田/卡罗拉/2021款 1.2T 自动 S-CVT精英PLUS版",80AB,6.02万元,2026年01月,2022年01月,48578公里,成都,非营运,白色
长安/逸动/2018款 1.6 手动 GDI领尚型,60BB,1.67万元,2026年01月,2018年10月,49204公里,成都,非营运,白色
